,Id,AcceptedAnswerId,Title
3456,61914637,61914820.0,Get the output of a specific layer as the result on test data in place of last layer (auto-encoder latent features) in keras
3476,53104887,53105809.0,Access internal tensors and add a new node to a tflite model?
3725,45113130,45800855.0,How to add new embeddings for unknown words in Tensorflow (training & pre-set for testing)
3818,45126061,45126259.0,How to find the second lowest value in a tensorflow array
3902,45147868,45235017.0,Tensorflow: is there a way to build a weighted histogram without tf.bincount?
3956,45155359,45156595.0,Matrix multiplication in tensorflow
3988,51998728,52144246.0,Tensorflow: Masking an array based on duplicated elements of another array
4050,60818811,60820963.0,TensorFlow model's input
4068,60817825,60825663.0,Generating data for image processing
4300,45362602,45396810.0,restoring weights of an already saved Tensorflow .pb model
4325,62490121,62495743.0,how to convert Lenet model h5 to .tflite
4378,52221144,52226204.0,Keep changing the same variable in Tensorflow
4479,45446236,45446874.0,Tensorflow slower when using multiple threads during preprocessing on CPU
4683,47115946,47162390.0,Tensor is not an element of this graph
4702,64037396,64037615.0,Taking an Arbitrary Power for a Keras Loss Function
4733,62592265,62632334.0,Check quantization status of model
4742,64155286,64271828.0,Multioutput-Multiclass Classification in Custom Scratch Training in TF.Keras
4767,55383828,55385303.0,Why in TensorFlow implementations of metrics `tensorflow.python.ops.x` is used instead of `tf.x`
4806,37117798,37144329.0,TensorFlow missing CPU Op for FFT (InvalidArgumentError: No OpKernel was registered to support Op 'FFT' with these attrs)
4841,62600863,62781000.0,TensorFlow Lite Android Crashes on GPU Compute only when Input Size is >1
4957,53862932,53863844.0,"Given two NxD matrix, produce NxDxD matrix in more efficient way of implementing"
4980,62669537,62686726.0,Does TensorFlow Lite Have a Low Power Consumption Mode?
5003,64321779,64334161.0,How to use TF CTC loss with variable length features and labels
5004,62670041,62670148.0,batch_size in tf model.fit() vs. batch_size in tf.data.Dataset
5063,64327731,64332012.0,Model plotted not clear with plot_model
5085,39064212,39112716.0,BinaryNet implementation in TensorFlow
5227,64465852,64482752.0,Tensorflow on IBM Power9 ppc64le - Can libtensorflow.so be deleted?
5234,45679994,45685033.0,Calculate Bounding Box Overlaps in Tensorflow
5263,37337728,39353693.0,TensorFlow: InternalError: Blas SGEMM launch failed
5271,37427786,39323246.0,How do you add new categories and training to a pretrained Inception v3 model in TensorFlow?
5362,45766298,45766888.0,TensorFlow cannot use apply_gradients with AdamOptimizer
5368,62893853,62896189.0,Applying steps to validation data as well or only to training data?
5382,62894391,62894552.0,Getting an error when trying to return the values of multiple metrics from mode.evaluate of Keras neural Network
5507,45865665,53456268.0,Getting reproducible results using tensorflow-gpu
5508,47644306,47644413.0,TensorFlow uninitialized value error with mse loss
5550,55794151,55965425.0,Unexpected failure when preparing tensor allocations
5630,45873438,45876604.0,All weights are all zero (not changing) in MNIST sample
5645,54184317,54184412.0,Execution of external optimizer on GPU
5750,47765595,47780342.0,Tensorflow: Attempting to use uninitialized value beta1_power
5762,45972468,45973179.0,Compute requirements for NN Training vs Deployed
5773,39632849,39656992.0,Dot product of patches in tensorflow
5774,37644984,37736888.0,Run train op multiple times in tensorflow
5801,47778920,49281993.0,Tensorflow-GPU still processing on CPU
5862,60547306,60554343.0,Cannot install edgetpu_compiler on raspberry pi
5878,48333210,49997506.0,Tensorflow: How to convert an integer tensor to the corresponding binary tensor
5880,64054555,64054884.0,TF2 - tf.function and class variables breaking
5886,43370953,43384803.0,Error while import tensorflow module
5928,60551145,60575696.0,"Tensorflow 2.1.0 - An op outside of the function building code is being passed a ""Graph"" tensor"
6024,63201036,63692060.0,Add additional layers to the Huggingface transformers
6113,60655246,60655376.0,How to produce all the combinations of the elements of two or more tensors?
6159,63207707,63236930.0,Is it possible to quantize a Tensorflow Lite model to 8-bit weights without the original HDF5 file?
6192,63211206,63538061.0,How to broadcast along batch dimension with Tensorflow functional API?
6235,64065499,64065552.0,Convert range index to coordinates in tensorflow
6269,54508678,54638952.0,Tensorflow efficient Cyclegan history pool
6281,60715615,60728385.0,React Native importing error: unable to resolve module with .bin (how to import a certain type of file?)
6372,55598702,55598802.0,How to apply a single fully connected layer to each point in an image
6380,55598516,56498738.0,Tensorflow: Count number of examples in a TFRecord file -- without using deprecated `tf.python_io.tf_record_iterator`
6554,55808705,55914734.0,tflight graph created wrongly
6976,43803168,43806059.0,Running tf.slim evaluation loop on CPU
6985,60989775,60991043.0,How can I use tensorflow lite to detect specific object without retraining
7066,61083603,61087784.0,How to make sure that TFLite Interpreter is only using int8 operations?
7169,52469866,55856716.0,Displaying images on Tensorboard (through Keras)
7247,35784696,35787766.0,TensorFlow: Multi-GPU configuration (performance)
7258,44174697,44199753.0,Generating multiple Tensorboard directories
7315,52610577,52610821.0,Feed both tf.data.Dataset and NumPy array to model
7444,41187602,41325679.0,Cannot Save or Load Models With TensorFlow & TFLEARN
7966,41255031,41255301.0,Memory leak evaluating CNN model for text clasification
7981,53017722,53069641.0,Input image of a fully quantized tensorflow lite model
8037,61876941,62391858.0,tensorflow datasets: more efficient to vectorize with unbatching (batch -> map -> unbatch) or just map?
8077,41267829,41273843.0,Retrieving last value of LSTM sequence in Tensorflow
8115,41273182,42193141.0,"TensorFlow 0.12 tutorials produce warning: ""Rank of input Tensor should be the same as output_rank for column"
8135,44724384,44729113.0,Tensorflow efficient overlap-add
8218,65471612,65472745.0,'tensorflow_federated' has no attribute 'NamedTupleType
8257,62402825,62417517.0,"How do I read data from large .h5 dataset in batches, preprocess with ImageDataGenerator & model.fit, all without running out of memory?"
8299,65477554,65487100.0,How to place custom layer inside a in-built pre trained model?
8361,65481370,65484988.0,Size mismatch in tensorflow_federated eager executor
8382,40517515,40519771.0,Is it possible to run Tensorflow using a single core on the CPU?
8425,65486078,65486141.0,How to find the len() of a tf.Dataset
8456,56774466,56774753.0,How to sum up a value on specific indices in tensorflow
8467,53603419,57529955.0,Tensorflow; applying spectral normalization via kernel_constraint to layers.dense()
8512,56779949,56841250.0,Unable to go from tf.keras model -> quantized frozen graph -> .tflite with TOCO
8525,40531543,40542534.0,"In distributed tensorflow, how to write to summary from workers as well"
8529,65495027,66985063.0,Deploying Machine Learning Models Flask and REST API
8637,49095320,49121095.0,Defining a cost/loss function in TensorFlow
8652,62411220,62519020.0,Performance difference of Tensorflow lite in Android and iOS
8741,45322194,45322682.0,Most efficient way to reshape tensor into sequences
8745,62450062,62493027.0,Dequantize values to their original prior to quantization
8836,49113045,49114963.0,CNN training error in executingTensorflow Python for identification of images of dogs and cats
8873,49116343,49140725.0,Dataset API 'flat_map' method producing error for same code which works with 'map' method
9010,37050510,37052238.0,Implementing Permutation of Complex Numbers In TensorFlow
9069,62535782,62536707.0,"TensorFlow inference from a SavedModel: Expecting int64_t value for attr strides, got numpy.int32"
9070,53733044,53733432.0,Matrix multiplication over specific dimensions in tensorflow (or numpy)
9088,62538267,62539945.0,Is adding values with tf.concat slow in for-loops?
9244,45612077,45612912.0,Creating vector of tensorflow nodes efficiently
9267,62815738,62874340.0,Memory issue: Constructing lower triangular matrix in batches (in a vectorised way)
9443,37558899,37622740.0,Efficiently Finding Closest Word In TensorFlow Embedding
9481,45900016,45907636.0,Polynomial regression giving wrong answer using Tensorflow
9742,63340564,63374741.0,ValueError: Generator yielding element of unexpected shape when using tf.data.Dataset.from_generator().padded_batch() - what am I doing wrong?
9877,63485453,63638945.0,Saving previous values of a Tensorflow.js tensor
9944,51966486,52280550.0,Different predictions when running Keras model in TensorFlow Lite
10013,41849559,41851449.0,Removing or masking the I'th sub-element of a tilted tensor?
10030,41851619,41854895.0,Applying a function element-wise to a tensor with different parameters in Tensorflow
10134,50364377,50375518.0,"How to replace the input of a saved graph, e.g. a placeholder by a Dataset iterator?"
10141,63362209,63415101.0,Premature end of training in TF OD 2 API
10188,38366876,38380901.0,Error with 8-bit Quantization in Tensorflow
10315,38383988,38446975.0,Seq2Seq use of buckets in TensorFlow tutorial
10317,46600863,46654346.0,how to loop over data feeded with a placeholder in tensorflow only one time using the new Dataset API
10444,46618583,46652328.0,How 8 bit arithmetic is done in Tensorflow?
10474,57228000,57228843.0,Is there a way to update the weights of a layer/variable directly after a training step?
10550,65902185,65927593.0,TFLiteConverter representative_dataset from keras.preprocessing.image_dataset_from_directory dataset
10585,50385447,50387583.0,how to deal with keras: erro:slice index 0 of dimension 0 out of bounds
10600,63887924,63905247.0,Tensorflow Object Detection API low loss low confidence - checkpoint not saving weights
10682,57234308,58162918.0,"Edge TPU Compiler: ERROR: quantized_dimension must be in range [0, 1). Was 3"
10756,57395645,57395958.0,How do I prune over the highest weights in tensorflow layer? tfmot.sparsity.keras.prune_low_magnitude
10853,66131264,66227278.0,expand tensor in tensorflow
10890,66134718,66331903.0,What Is Regularisation Loss in TensorFlow API? It Doesn't Align With Any Other Loss Function
11102,51509353,51509412.0,What are the arguments in function fit of keras?
11112,64111110,64112015.0,"How to do ""round half up"" in tensorflow"
11173,51526613,51526918.0,Reference a python script through Unity
11267,55462497,56056161.0,How do I calculate subgradients in TensorFlow?
11280,64239738,64243731.0,TensorFlow Lite does not recognize op VarHandleOp
11312,53338621,53343032.0,Issue with gdrive on Colab
11329,64246466,64246938.0,How to fill a tensor of values based on tensor of indices in tensorflow?
11348,44835223,44866115.0,Adding a preprocessing layer to keras model and setting tensor values
11362,55468817,55473586.0,"When I feed an image to my trained model, it gives 80%+ accuracy to objects that are not trained in the model"
11436,55474712,55476802.0,Batch normalization in tensorflow: variables and performance
11526,53500185,53542804.0,Convert Keras MobileNet model to TFLite with 8-bit quantization
11548,44983787,44983945.0,Tensorflow: analogue for numpy.take?
11573,53509213,53509445.0,Error importing Tensorflow when import tensorflow as tf
11754,39138447,39142367.0,how to stack LSTM layers using TensorFlow
11793,45224728,45225700.0,How to speed up the calculation of cross entropy loss in tf.nn.softmax_cross_entropy_with_logits()
11905,54864071,54864226.0,mobilenetv2 tflite not expected output size with python3
12002,55931671,55932064.0,Text sequence to integer with many integer classes in Keras
12007,64799530,66195169.0,Integrate tflite model with tensorflow object-detection example code
12020,64801202,64801610.0,What is the round through function in QKeras/Python?
12053,64805649,65185407.0,issue while using segmentation-models library
12127,55935286,55935778.0,TensorFlow: Efficiently calculating sqrt using a boolean_mask
12169,54902293,54910543.0,Change tf.dataset source at runtime in Tensorflow
12318,54915054,54921204.0,Feed Variables in Tensorflow Efficiently
12364,54920921,54936210.0,Tensorflow lite model request a buffer bigger than the neccesary
12490,64882214,64896783.0,RuntimeError when calling `allocate_tensors()` on converted tflite model
12508,54937304,54939520.0,"ValueError: Cannot feed value of shape (4,) for Tensor 'Placeholder_36:0', which has shape '(?, 4)'"
12512,64885890,64889707.0,Using Numpy/Tensorflow to quickly turning indexes into a mask
12693,56469341,56602995.0,Adding a {serve} metagraph to existing Tensorflow model
12721,56481038,56482883.0,"When evaluating a TensorFlow model, how can I see the values of a specific hidden layer in a single forward call?"
12775,65292999,65293208.0,Why shuffling the data like this leads to a poor accuracy
12900,56521807,56535773.0,TensorflowJS: Optimal way to calculate distance or similarity between multiple tensors?
12968,63924862,64061938.0,Is it possible to run ssd_mobilenet_v1_fpn on Android for inference?
13065,60574843,60575553.0,Machine Learning Model overfitting
13094,51813951,51814597.0,TensorFlow takes too long to load data into a tf.Dataset
13122,60590333,60635516.0,Increasing each element of a tensor by the predecessor in Tensorflow 2.0
13130,43406111,43421161.0,Is GPU efficient on parameter server for data parallel training?
13138,65536783,66306523.0,"How does Ruy, XNNPACK, and Eigen work in Tensorflow Lite?"
13240,48906570,48907764.0,"Adding an offset to one dimension of a tensor, the offset being the entry of another tensor"
13319,48910590,48913749.0,How to bulk write TFRecords?
13338,48911249,48921144.0,How to read a utf-8 encoded binary string in tensorflow?
13391,56846196,56846887.0,How to access and update weight of each layer using fit_generator in Keras?
13403,48915279,48940528.0,TensorFlow: how to efficiently train a network where each layer needs feeding?
13423,43533264,43876714.0,How to read tensorflow memory mapped graph file in android?
13477,48918896,49285200.0,What is the difference between a `slot variable` and a `non-slot variable` in the Tensorflow internal optimizer API?
13529,64126329,64126857.0,Tensorflow 2 Image Batch Prediction Return Results
13561,60783153,65016295.0,Tensorflow in Scala reflection
13567,60782817,60808148.0,Counting with Keras
13830,40899886,40906490.0,How to translate computation in index notation into sequence of SIMD ops in general case?
13900,49271114,49287272.0,Define instance key (index number) for Cloud machine learning prediction
13906,49269555,49377475.0,Logging and deque operation problems in Tensorflow Android Speech Recognition Sample
13983,43727063,43727987.0,How to import Tensorflow source codes correctly with Clion or Netbeans
13997,49281676,49281770.0,Tensorflow: reduce_mean of subtensors and concatenating the results
14022,49285112,49286934.0,How can you re-use a variable scope in tensorflow without a new scope being created by default?
14085,47337618,50058852.0,Implementing piecewise convolutional neural networks / piecewise max pooling
14247,60998416,61717104.0,TFLiteConverter parameters for optmization on TensorFlow 1.x
14273,43834533,43836655.0,How to quantize the values of tf.Variables in Tensorflow
14289,49306552,49330605.0,Storing TensorFlow network weights in Python multi-dimensional lists
14294,61018287,61022969.0,I import repo from Github to Colab When I run it there is no response
14329,40950590,47370294.0,"Tensorflow: loading, saving time"
14366,64413087,64430900.0,"Question about inconsistency between tensorflow lite quantization code, paper and documentation"
14368,52259343,57785739.0,Quantize a Keras neural network model
14463,52306461,52487528.0,How to sample batch from a specific class?
14526,61146015,61150197.0,Does flow_from_directory method in Keras resize the images even if they already match the desired size?
14537,35639131,35644548.0,"Efficiently apply function to neuron outputs then sum, not apply function to sum"
14641,52483259,52484436.0,Map values to a PNG-encoded TensorFlow tensor
14725,52517298,52620554.0,"Tensorflow Error ""UnimplementedError: Cast string to float is not supported"" - Linear Classifier Model using Estimator"
14772,52551296,52584872.0,Keras BatchNormalization layer : InternalError: cuDNN launch failure
14821,52586526,52596030.0,Caffe model fails to learn
14865,61374626,61524051.0,How to break a loop inside a custom made Tensorflow model (using Keras)
14957,64914244,64921898.0,How do I convert my TensorFlow saved_model.pb to Javascript?
15027,55950519,55976875.0,Problem using Elmo from tensorflow hub as custom tf.keras layer during prediction
15043,52700621,53055899.0,Tensorflow server: I don't want to initialize global variables for every session
15119,52743995,53121278.0,Moblenet V2: Importing graph with lower producer version into a graph with higher producer version
15179,52743613,52807228.0,Tensorflow data : apply function TO batch
15209,56532577,56535729.0,filter tensorflow array with specific condition over numpy array
15262,36035092,39357384.0,Multi-dimensional gather in Tensorflow
15278,44435677,44435910.0,Reading PNG files using Tensorflow
15351,44482637,44485177.0,How to use Tensorflow queues in real example
15358,61725611,61728596.0,'NoneType' object has no attribute '_inbound_nodes' error
15443,52985676,52986812.0,How to use tf.case efficiently?
15529,44689863,44774460.0,how to debug tensorflow internal c++ code efficiently with IDE(intelJ or Xcode) on mac?
15541,61899794,62059153.0,Can Tensorflow work out gradients for integral approximations?
15567,53094212,53100658.0,Tensorflow SxN matrix multiply with SxD matrix to output SxNxD array
15710,49339523,49781788.0,"TensorFlow program sometimes works, sometimes throws different errors related to reshape nodes at different points in training using same random seed"
15750,49350124,49350357.0,"Why I'm getting ""TypeError: Failed to convert object of type <type 'dict'> to Tensor.""?"
15788,49360512,49360727.0,YOLO model: passing m exemples to the model?Tensorflow issue with placeholders
16007,41465681,41562382.0,Use V2 checkpoint for TFLearn (TensorFlow) r0.12.1
16051,49879750,49893511.0,Using keras.utils.Sequence multiprocessing and data base - when to connect?
16052,49882401,49883293.0,Subtensor of a Tensorflow tensor (C++)
16123,41495757,41499257.0,Error performing lstm using BasicLSTMCell in v0.12.0
16158,49901661,49977878.0,Tensorflow C++ inference result is slightly different from Keras inference
16333,46721407,46721438.0,Tensorflow: Extract Every Other Element
16352,62558666,62559128.0,convert .pb model into quantized tflite model
16683,64419191,64544202.0,Google Colaboratory session abruptly ends when filling up shuffle buffer
16724,66180960,66188321.0,Running Keras h5 model
16752,49942110,49943920.0,tf.reset_default_graph memory leak
16783,41547764,41633228.0,Tensorflow: How to use Adam optimizer properly
16800,57483565,57486429.0,Regression with convnet on image using keras - accuracy can't increase more than 40%
16907,66192312,66192442.0,How to use subprocess on the GPU for batch inferencing?
17096,48639348,48641740.0,Sum of all outputs of stacked LSTM cells - Tensorflow
17119,40330775,40347715.0,Compute efficiently a pairwise ranking loss function in Tensorflow
17145,56585023,56585430.0,ValueError in the first epoch ending of tensorflow training
17153,47482135,47490268.0,Tensorflow memory leak in tf.decode_csv function
17269,41567895,41568439.0,Will scikit-learn utilize GPU?
17535,62090925,62509043.0,How to get Data Generator more efficient?
17538,62092147,62202181.0,How to efficiently assign to a slice of a tensor in TensorFlow
17630,41585723,41585795.0,Extract patches from 3D Matrix
17699,56601115,56893796.0,Partitioned matrix multiplication in tensorflow or pytorch
17731,44760064,44760786.0,Machine learning multi-classification: Why use 'one-hot' encoding instead of a number
17797,49995643,49995980.0,Input Layer in keras model class gives type-error with numpy array or tensors as input. What is the correct type then?
17873,62111708,62260669.0,What is the significance of normalization of data before feeding it to a ML/DL model?
17954,55651492,55651838.0,How to reset classes while retaining class specific weights in TensorFlow Object Detection API
18011,66603346,66610336.0,Failure to load model in tensorflow.js
18063,66606001,66606533.0,Error: Tensorflow preprocessing layers not converting to Tensorflow lite
18095,57998859,57999172.0,Efficient boolean masking with Tensorflow SparseTensors
18102,48665630,49110966.0,TensorFlow: freeze graph tensorflow for poets
18121,66231467,66687887.0,How to set a minimum number of epoch in Optuna SuccessiveHalvingPruner()?
18202,62134394,62151449.0,Convert custom Convolution from PyTorch to Tensorflow (2.2.0)
18232,55655235,55668954.0,tf.linalg.eigh extremely slow on GPU - normal?
18391,57115833,57116525.0,Why tensorflow is slower with GPU instead of CPU?
18460,47500913,47643235.0,"Tensorflow lite example with custom model - ""input_product_scale < output_scale was not true"""
18478,66242091,66311582.0,"TensorFlow, Keras: Replace Activation layer in pretrained model"
18493,57617294,57629472.0,tensorflow element-wise multiplication broadcasting?
18506,42214228,42214263.0,Adding matrices with different dimensions
18529,50559586,50570204.0,Deep Learning YOLO Object Detection: How to iterate over cells in a grid defined over the image
18592,62650096,62650295.0,How to initialize a Conv2D layer with predetermined list of kernels in tensorflow/keras?
18921,57631313,57725850.0,I use TFLiteConvert post_training_quantize=True but my model is still too big for being hosted in Firebase ML Kit's Custom servers
18943,50612215,50612726.0,Sliding window of a batch in Tensorflow using Dataset API
18972,45563438,45609173.0,hybrid of max pooling and average pooling
18973,48952003,48952641.0,What is a standard way to add tf.placeholder for test/validation data with queue runners
19079,42223668,42228577.0,NotFoundError when restore tensorflow model
19196,50641981,50645056.0,Tensorflow: generate samples from a Multinomial distribution [Space efficient way?]
19297,50657128,50657684.0,How to run a tf.assign operation without pulling its result
19299,50657425,50657541.0,Cannot start Tensorboard when tensorflow is running
19416,50675096,50675243.0,"How to reset all variable in Adam Optimizer (Tensorflow), then I can retrain model with new optimizer"
19477,50686873,50688229.0,Most efficient way to average bunches of x embeddings from a Tensorflow variable that contains y total embeddings
19531,45725053,45746911.0,More efficient way of loading images for detection
19593,50690891,50694593.0,why this simple model take large memory usage in tensorflow?
19608,50704004,50723793.0,Tensorflow: Efficient multinomial sampling (Theano x50 faster?)
19674,66731194,66802989.0,Tensorflow Quantization - Failed to parse the model: pybind11::init(): factory function returned nullptr
19890,62859581,62860123.0,How to split spark DataFrame into numpy arrays to use them as tensorflow's convolutional neural network inputs?
19935,50744505,53475612.0,FailedPreconditionError: Attempting to use uninitialized value dense
19979,65600808,66328471.0,InvalidArgumentError: Input 1 of node while_1/Merge_1 was passed float from while_1/NextIteration_1:0
20033,55760108,55793948.0,Compress tflite graph from 8mb to 2mb
20296,50773509,50773659.0,Understanding the Input Parameters in RNN
20433,55770578,55770971.0,"Understanding epoch, batch size, accuracy and performance gain in lstm forecasting model"
20437,47743936,48332301.0,Tensorflow ResourceExhaustedError after first batch
20575,41598505,41600007.0,Tensorflow - Dynamic Slicing of Images
20616,49433840,49517505.0,Tensorflow CUBLAS_STATUS_ALLOC_FAILED error
20855,63059826,63059940.0,model.trainable = False - weights frozen and untrainable?
20865,63060083,64853996.0,Create an LSTM layer with Attention in Keras for multi-label text classification neural network
20996,64566566,64610114.0,Same output for different images during prediction with Quantized MobilenetV1 Tf-lite
20997,59045283,62511934.0,Dynamic Unrolling of Simple Neural Nets using Keras
21005,63063260,63065080.0,Extracting features from EfficientNet Tensorflow
21022,65745098,65745394.0,compare entire row and column in numpy array and delete selected rows and columns
21050,63157886,63312234.0,Tensorflow lite negative predictions in binary classification
21301,63271841,63354169.0,"Deep Learning with Python code no longer working. ""TypeError: An op outside of the function building code is being passed a ""Graph"" tensor."""
21370,54473620,54478251.0,About custom operations in Tensorflow and PyTorch
21475,66315803,66365628.0,tflite models from tfhub.dev not working in Android
21615,44309333,50098838.0,What is the most efficient way to compute a Kronecker Product in TensorFlow?
21631,54477157,54493458.0,Usage of k.clear_session() and tf.reset_default_graph() to clear graph between subsequent models
21639,46452020,46453048.0,Sinusoidal embedding - Attention is all you need
21665,55955397,55975596.0,How to compile a embedding extractor on Edge TPU Model Compiler?
21798,50842960,50844777.0,Tensorflow Stored Learning
21859,42311773,42312602.0,Select subset of tensor using boolean tensor in tensorflow
22087,51611221,51612509.0,Tensorflow Loss and accuracy error Neural Network
22153,43137828,43138053.0,Keras using GPU vs CPU
22164,51625911,51628287.0,"InvalidArgumentError (see above for traceback): Input to reshape is a tensor with 35000 values, but the requested shape requires a multiple of 7500"
22190,51633796,51634017.0,Implementing custom layer in Keras (RStudio Interface)
22231,51640570,51640629.0,Shift images in tensorflow (with periodic boundary)
22242,43155050,43155345.0,TensorFlow: Create a new tensor based on list of indices
22374,51663236,51664219.0,Reverse two block of elements inside a tensor using TensorFlow
22401,51658685,51861805.0,using LSTMs Decoder without teacher forcing - Tensorflow
22449,51677631,51678174.0,Keras/Tensorflow: Get predictions or output of all layers efficiently
22509,51686617,51687378.0,TensorFlow Cifar10 cost finding error of logits and labels (logits and labels must be same size)
22614,51707026,51707143.0,Tensorflow quantization: No such package
22652,33788989,33846659.0,Tensorflow: Using Adam optimizer
22711,51724450,51725330.0,Finding centre of mass of tensor (tensorflow)
22777,43265477,43351273.0,NaN values in tensorflow when running from GPU and using multiple threads to feed queues
22928,43299286,43301049.0,"Python heapy shows constant memory usage, though 60GB of ram is exhausted in 10min"
22973,43300000,43455687.0,TensorFlow: Quantize model using python before save
23077,33833818,33834561.0,Printing the loss during TensorFlow training
23080,43324156,43324476.0,Feed_dict and numpy reshape
23092,66880262,66909076.0,python multiprocessing start and close processes independently
23094,66879986,66881336.0,TensorFlow 2 Quantization Aware Training (QAT) with tf.GradientTape
23233,34010987,34012564.0,Does Tensorflow rerun for each eval() call?
23252,34002591,34002962.0,Tensorflow slicing based on variable
23428,57682485,57810004.0,Tensorflow classifier.evaluate running indefinitely?
23437,46725323,46757715.0,Keras Tensorflow - Exception while predicting from multiple threads
23461,63613281,63616456.0,Write an own layer with trainable parameters in Tensorflow
23522,63620419,65378665.0,"Firebase Local Model throws ""Didn't find op for builtin opcode 'CONV_2D' version '2'"""
23672,40685084,40686352.0,nvidia-smi shows GPU utilization when it's unused
23783,65626935,65944107.0,Tensorflow Quantization Aware Training
23826,49012912,49013043.0,Error when calling global_variables_initializer in TensorFlow
23883,56939076,56939920.0,convert_to_generator_like num_samples Attribute Error: 'int' object has no attribute 'shape'
23975,59646954,59714855.0,What is attention penalty in speech transformer paper? (updated)
24083,59653108,59683042.0,Neural network filtering out everything else than cats/dogs
24142,49476287,52403624.0,DeepLab: InvalidArgumentError: NodeDef mentions attr 'dilations' not in Op<name=Conv2D;
24351,59679645,59752911.0,Converting saved_model to TFLite model using TF 2.0
24362,64315799,64368691.0,Object Detection on Android with Tensorflow Lite
24457,59687223,60044245.0,Scaling tf.io.gfile.GFile over 100MB/s throughput
24580,59705338,59710871.0,How to apply a tensorflow function on tensor slices efficiently?
24587,65808335,65808886.0,Creating a Numpy Dataset
24839,42547456,42585542.0,Are there any downsides of creating TensorFlow placeholders for variable sized vs. fixed sized inputs?
24878,51078480,51078568.0,Restore models in tensorflow
24915,57269598,57306418.0,Tensorflow Hub Module's trainable variables are not updated during training
24947,59741879,63680337.0,class CategoricalCrossentropy versus function categorical_crossentropy
25102,51097247,51153817.0,Tensorflow does not release the memory after session close
25215,51106402,51106833.0,Tensorflow 1.9 DNNClassifier unequal output labels optimization
25238,67874428,67919101.0,"How to design a model for contour recognition? In particular, how to shape the output layer?"
